Celebrity,f1,f2,f3,f4,f5,f6
Vladimir Putin,0.0005953785274364872,0.001148005696401374,0.0,0.0,0.00012687091802988715,0.020331860312263646
Donald Trump,0.0008068004717951131,0.000693951595782385,0.0,0.0,0.0004047756357461365,0.05423734900055662
Angela Merkel,0.001006267471232506,0.0017702073399557547,0.0,0.00046321014552753694,0.0009332444646542183,0.009677507604249251
Xi Jinping,0.0010287011920878685,0.0011888625071917627,0.002423718037888294,0.0004670431709609217,0.0008557174873126629,0.006663043234534738
Pope Francis,0.0002934384126489284,0.005118411291876482,0.001788395099646896,0.0,0.006227100880100855,0.0019295160838526523
Janet Yellen,0.0004868907480405101,0.0008689878131230607,0.0,0.0004046027332479194,3.4833034784325814e-05,0.010872413624770426
Bill Gates,0.00615951146568722,0.004283199966252352,0.0020141617647483926,0.005872814168856825,0.0019590738620647967,0.0031874481103762882
Larry Page,0.009301806331459639,0.0018569835755243905,0.007689559520765796,0.00017598000345712503,0.00027603618954816553,0.00033153538900032305
Narendra Modi,0.0014370705052011517,0.0015571180859755903,7.500580037615297e-05,0.0005498789256108022,0.0006408045935738157,0.016025061232000398
Mark Zuckerberg,0.0022412896528419437,0.0028787299815648724,0.00708094286459532,0.0022210062474684196,0.0020247799711864294,0.005277838970638455
Mario Draghi,0.0007399595652946294,0.0009602812472635249,0.0,0.00036616275578268465,0.0008328897814074587,0.005091590775120384
Li Keqiang,0.0011293885484209838,0.0015158633411768245,0.005531074035804064,7.624820211040216e-05,0.001379807508155092,0.007156173733134328
Theresa May,0.0007760747883280824,0.0018695248500069557,0.0,0.000703871978074977,0.0002623280542466307,0.009325437804311987
Jeff Bezos,0.00945859121959988,0.0034760097960124165,0.00093579345731989,0.009234403169065968,0.0014490346879295563,0.0035460868558651443
Warren Buffett,0.0009860112527641455,0.0011911964628855394,0.0,0.0005600448193997893,0.0006998113891412897,0.015410395248883397
Salman bin Abdulaziz Al Saud,0.0003564172582595461,0.0004764189568877012,0.0002956098472218079,0.0008062769850042459,0.00026317731284595505,0.0003696469245241438
Carlos Slim Helu,4.858559496318956e-05,7.086839716041058e-05,1.4111856529955048e-05,0.0,1.2987936890801776e-05,5.917981473996827e-05
Ali Hoseini-Khamenei,4.858559496318956e-05,7.086839716041058e-05,1.4111856529955048e-05,0.0,1.2987936890801776e-05,5.917981473996827e-05
Jamie Dimon,0.010685426090021608,0.002891052849494043,0.0029246429747425812,0.0009259099707792538,0.001613559251531249,0.006172413039673602
Benjamin Netanyahu,0.000682623042817874,0.0010796616592184097,0.0,0.0,0.0008451491307730545,0.007759775145894
Elon Musk,0.0009160188261633795,0.0015572066736145636,0.0025367209910751665,0.0005818234521736946,0.0014596167906841414,0.0036516537371037243
Jeffrey Immelt,4.665641333134744e-07,6.335417535321922e-06,0.0,0.0,9.628586746754132e-08,3.7429870221208552e-06
Francois Hollande,4.858559496318956e-05,7.086839716041058e-05,1.4111856529955048e-05,0.0,1.2987936890801776e-05,5.917981473996827e-05
Rex Tillerson,0.0015594366697686663,0.003009577366658803,0.0,0.0,0.00016071815136302635,0.03347124090672807
Christine Lagarde,0.007270509062475013,0.0011874923889590423,0.00023092164984279961,0.0001288059923417811,0.0003572707708051695,0.003919818220609871
Lloyd Blankfein,0.0003535751956064389,0.0005533032200143812,0.0,0.00029943074767018704,4.5377056038431514e-05,0.0024462850806216572
Doug McMillon,0.0008201493002123621,0.0009932559949501014,0.0,4.234268049619748e-05,0.0002445031108539923,0.004342937225527149
Jack Ma,0.0016232796667887813,0.000650681156127521,0.0040808433036314765,0.00034386749202082527,0.032339565008421355,0.003521925640405938
Akio Toyoda,0.0,7.6069706659814325e-06,0.0,0.0,3.1957197366363086e-05,0.0037342968590128246
Sergey Brin,0.001836396794211992,0.002736234563037005,0.0065285237897137844,0.009956291016764885,0.00225947073754431,0.006794387889219825
Charles Koch,0.0024378365418529107,0.0016280730995244846,0.00018130956865617805,0.0009405712852730173,0.0018020202805114635,0.006344272684319648
Tim Cook,0.0009521376893502231,0.0009879326135788869,0.0,0.0007117290357182409,0.00042261470093117283,0.010290058742119588
Li Ka-shing,0.0012320739908880305,0.0012951443212479903,0.00015254507911150174,0.0009909355243119472,0.0018423131826580154,0.0036247053243082055
Larry Fink,6.48335828789939e-05,0.00019384381584400354,5.0653806788620385e-05,0.0,5.436894671903649e-05,0.0006293705632194852
Rupert Murdoch,0.001450457020119289,0.0016383261823273592,0.0005162174072404974,0.000336825849878358,0.0011238016471276826,0.004900596161668573
Antonio Guterres,4.858559496318956e-05,7.086839716041058e-05,1.4111856529955048e-05,0.0,1.2987936890801776e-05,5.917981473996827e-05
Shinzo Abe,0.0017802052196578206,0.011222981328438226,0.0009139388274465322,0.0001404044031230225,0.0,0.0
Mukesh Ambani,0.001736433948846368,0.0006031267831856114,0.0008623753801524971,0.0,0.0,0.0369131667053636
Khalifa bin Zayed Al-Nahyan,4.858559496318956e-05,7.086839716041058e-05,1.4111856529955048e-05,0.0,1.2987936890801776e-05,5.917981473996827e-05
Jay Y. Lee,2.507381982808343e-06,2.2306144974592505e-06,0.0,0.0,1.9537711686498245e-06,4.0876680724074255e-06
Ding Xuedong,0.0009855442884873665,0.0012048903893881356,0.0023694749468232525,0.0004805140570801625,0.0010124572960472618,0.004487117553722898
Jim Yong Kim,0.0008117226657692423,0.0008225528273777325,0.003006159505888208,7.26187593949238e-05,0.0008723152219298477,0.008670479454661635
Kim Jong-un,0.0005644876875097059,0.0006684611792613639,0.0035804869295778217,8.493306267829357e-05,0.001048635384861067,0.00429246002037381
Abdel el-Sisi,0.0,8.571039855081464e-06,0.0,2.2328403484826246e-05,0.0,6.201512221055272e-06
Ma Huateng,0.002195109919418636,0.00201918564991139,0.009560359967348926,0.005033036665187267,0.0020787869670183027,0.0076206250274881695
Michael Dell,0.0012709807857024134,0.0009287991821836899,0.00016837566623646542,0.00032348775907156636,0.0007388411179487445,0.00275171097986835
Haruhiko Kuroda,0.00044488089982261435,0.00039721500221882996,0.0,0.0005354899950323043,0.00023995194611795128,0.0039280267504632795
Barack Obama,0.0007955991836350855,0.0018228622924671646,0.0014868275978713074,0.00043054022914074976,0.0016295483066092091,0.012032010518960324
Khalid Al-Falih,0.0,0.0,0.0,0.0,0.0,0.0
John Roberts,0.000895210285362083,0.0015015617046861666,0.00027029937047446956,0.00041813930456155614,0.0018044494784200977,0.004353918271199752
Satya Nadella,0.0009500393842896792,0.0009379611982939577,0.0,0.00017256922433832723,0.00015037285104961006,0.005889738357823751
Stephen Schwarzman,4.858559496318956e-05,7.086839716041058e-05,1.4111856529955048e-05,0.0,1.2987936890801776e-05,5.917981473996827e-05
Masayoshi Son,0.00045964811953128597,0.0012969856361370994,0.002894829892975833,0.010783403825796576,0.0007414509323744198,0.0026139488405230375
Enrique Pena Nieto,0.001780449039012293,0.011209262669772516,0.0009135372455599137,0.00013985789047850768,0.0,0.0
Michael Bloomberg,0.0019697635745599762,0.0026360446769486206,0.0002972325494891221,0.0003259740874384582,0.002440608571827315,0.013288463529889792
Recep Erdogan,0.0,8.571039855081464e-06,0.0,2.2328403484826246e-05,0.0,6.201512221055272e-06
Abu Bakr al-Baghdadi,0.00040635974263725986,0.00048233245372697686,7.534399375564686e-05,6.578786060386976e-05,0.0004389259836462511,0.002117263084453236
Alisher Usmanov,0.0016245747521326194,0.00432465954965216,0.000612783534905004,0.0006059851357867713,0.001261343622179071,0.004898795599832839
Wang Jianlin,0.0023260343934814647,0.0014652855226201852,0.00016974717758894148,0.0006109723176540091,0.0017346490002547968,0.005261524503594296
Robin Li,0.0014459296488800147,0.0013442123307913902,0.007146129004901562,0.0005654483973373008,0.0012456506459959822,0.005791846856635503
Ginni Rometty,0.0009358477193448944,0.001101503316470285,0.0034499662379053526,0.0001792934701080926,0.0007527485594147103,0.008251645695720528
Mary Barra,0.0007370109157350615,0.0006176835985608558,8.494115068849425e-07,5.544190235338405e-06,0.0003271577597071612,0.00396173074599385
Bashar al-Assad,0.0008628676733695858,0.0016113924916651297,0.0,0.00032750433297970127,0.00042408878694406003,0.010787530550792807
Travis Kalanick,0.0005843319042967972,0.0012956177928186436,0.0003292141128642363,0.0010981841927987276,0.0003049457142657181,0.0018782825227276806
Carl Icahn,0.00038622574501459203,0.0008471908152526126,0.0003106138645300657,0.0,0.0016999018938559708,0.02679235009648275
Justin Trudeau,0.0010863258125697647,0.0013465935789186351,0.0007625885092365787,0.0004031976439384324,0.0004998769340758417,0.007014485630592007
Bob Iger,0.005766059824143028,0.00099203793911578,0.0013308912865172243,0.0002216151675896637,0.0006000536852217782,0.005621579051310888
Aliko Dangote,0.0007880351954583798,0.0012621511471883635,0.0003294329568550814,0.0002798516856449655,0.0011796053963349516,0.0031391949085349895
Mike Pence,0.0002742809943116446,0.0006510711910003517,0.0,2.3497812041601413e-05,0.0,0.014412419116051428
Rodrigo Duterte,0.0008384146747389318,0.0012860170660306044,0.0013888894897047578,0.00011155994865558908,0.0016115468752969271,0.007297045321294327
Ayman al-Zawahiri,0.0001728351376826027,0.0005362825692577374,8.407271530321137e-05,0.00011252277946223906,0.00017463668113171143,0.0021245410635550737
Sheldon Adelson,0.0004984742391337458,0.0003260352438379063,0.0,7.08742408729887e-05,0.0,0.02541092870541629
Peter Thiel,0.0007573564181702137,0.001010569906872908,0.00013634425184721108,0.0013107220751615509,0.008111447796022906,0.003507150830007375
Chuck Schumer,0.0009491778348873883,0.0011973094964212929,0.0,6.216847813654872e-05,0.0011759678208830594,0.0065415289634734725
